8.710 sweats  [n.5-18-2011 = 3676, n4 = 7, 8.75069 17.461]
8.373 chills  [n.5-18-2011 = 3742, n4 = 9, 8.72502 17.0985]
7.435 eatting  [n.5-18-2011 = 868, n4 = 4, 10.8331 18.2684]
7.336 beg  [n.5-18-2011 = 1418, n4 = 7, 10.125 17.461]
7.329 fever  [n.5-18-2011 = 6854, n4 = 34, 7.85188 15.1809]
7.161 convention  [n.5-18-2011 = 3229, n4 = 18, 8.93774 16.0985]
7.120 dreadful  [n.5-18-2011 = 872, n4 = 5, 10.8264 17.9465]
6.996 sickly  [n.5-18-2011 = 640, n4 = 4, 11.2727 18.2684]
6.731 draining  [n.5-18-2011 = 1332, n4 = 10, 10.2152 16.9465]
6.326 grave  [n.5-18-2011 = 1408, n4 = 14, 10.1352 16.461]
6.324 ruining  [n.5-18-2011 = 1406, n4 = 14, 10.1372 16.461]
6.269 coughing  [n.5-18-2011 = 580, n4 = 6, 11.4147 17.6834]
6.156 digging  [n.5-18-2011 = 1430, n4 = 16, 10.1128 16.2684]
5.826 cya  [n.5-18-2011 = 498, n4 = 7, 11.6346 17.461]
5.676 causing  [n.5-18-2011 = 1410, n4 = 22, 10.1331 15.809]
5.654 headache  [n.5-18-2011 = 4860, n4 = 77, 8.34787 14.0016]
5.392 davina  [n.5-18-2011 = 2, n4 = 67, 19.5946 14.2023]
5.376 breath  [n.5-18-2011 = 3906, n4 = 75, 8.66314 14.0396]
5.143 technology  [n.5-18-2011 = 3100, n4 = 70, 8.99656 14.1391]
5.109 caught  [n.5-18-2011 = 5408, n4 = 125, 8.19373 13.3026]
5.067 medicine  [n.5-18-2011 = 2186, n4 = 52, 9.50054 14.568]
4.986 wishing  [n.5-18-2011 = 1470, n4 = 37, 10.073 15.059]
4.893 soup  [n.5-18-2011 = 1416, n4 = 38, 10.127 15.0205]
4.747 anytime  [n.5-18-2011 = 1010, n4 = 30, 10.6145 15.3615]
4.718 zoe  [n.5-18-2011 = 132, n4 = 4, 13.5502 18.2684]
4.693 earthquake  [n.5-18-2011 = 8, n4 = 165, 17.5946 12.9021]
4.687 sake  [n.5-18-2011 = 646, n4 = 20, 11.2592 15.9465]
4.684 monson  [n.5-18-2011 = 2, n4 = 41, 19.5946 14.9109]
4.655 laying  [n.5-18-2011 = 1548, n4 = 49, 9.99842 14.6537]
4.651 alexis  [n.5-18-2011 = 126, n4 = 4, 13.6173 18.2684]
4.612 gratitude  [n.5-18-2011 = 2, n4 = 39, 19.5946 14.983]
4.561 jasper  [n.5-18-2011 = 148, n4 = 5, 13.3852 17.9465]
4.556 wooooo  [n.5-18-2011 = 118, n4 = 4, 13.712 18.2684]
4.554 ruined  [n.5-18-2011 = 972, n4 = 33, 10.6698 15.224]
4.542 benjamin  [n.5-18-2011 = 146, n4 = 5, 13.4048 17.9465]
4.481 attendance  [n.5-18-2011 = 196, n4 = 7, 12.9799 17.461]
4.422 rough  [n.5-18-2011 = 1048, n4 = 39, 10.5612 14.983]
4.329 nate  [n.5-18-2011 = 126, n4 = 5, 13.6173 17.9465]
4.326 cyclone  [n.5-18-2011 = 2, n4 = 32, 19.5946 15.2684]
4.251 cold  [n.5-18-2011 = 7522, n4 = 315, 7.71771 11.9692]
4.250 plenty  [n.5-18-2011 = 644, n4 = 27, 11.2637 15.5135]
4.231 blows  [n.5-18-2011 = 942, n4 = 40, 10.715 14.9465]
4.159 isaac  [n.5-18-2011 = 112, n4 = 5, 13.7873 17.9465]
4.143 disaster  [n.5-18-2011 = 42, n4 = 592, 15.2023 11.059]
4.129 count  [n.5-18-2011 = 1492, n4 = 68, 10.0516 14.1809]
4.095 austin  [n.5-18-2011 = 150, n4 = 7, 13.3658 17.461]
4.082 sucks  [n.5-18-2011 = 1592, n4 = 75, 9.95799 14.0396]
4.081 bio  [n.5-18-2011 = 2, n4 = 27, 19.5946 15.5135]
4.076 noah  [n.5-18-2011 = 148, n4 = 7, 13.3852 17.461]
3.996 natalie  [n.5-18-2011 = 120, n4 = 6, 13.6877 17.6834]
3.982 wishes  [n.5-18-2011 = 614, n4 = 31, 11.3325 15.3142]
3.971 crap  [n.5-18-2011 = 1376, n4 = 70, 10.1683 14.1391]
3.947 somewhere  [n.5-18-2011 = 1528, n4 = 79, 10.0172 13.9646]
3.933 tough  [n.5-18-2011 = 1494, n4 = 78, 10.0496 13.983]
3.911 abby  [n.5-18-2011 = 132, n4 = 7, 13.5502 17.461]
3.824 kayla  [n.5-18-2011 = 142, n4 = 8, 13.4449 17.2684]
3.797 ethan  [n.5-18-2011 = 122, n4 = 7, 13.6639 17.461]
