4.330 wrecked  [n.5-1-2011 = 1, n.5-2-2011 = 20, 18.2789 13.9488]
4.202 accident  [n.5-1-2011 = 10, n.5-2-2011 = 183, 14.9569 10.755]
3.709 trashed  [n.5-1-2011 = 1, n.5-2-2011 = 13, 18.2789 14.5703]
3.468 vind  [n.5-1-2011 = 1, n.5-2-2011 = 11, 18.2789 14.8113]
3.330 roots  [n.5-1-2011 = 1, n.5-2-2011 = 10, 18.2789 14.9488]
3.330 justsayin  [n.5-1-2011 = 1, n.5-2-2011 = 10, 18.2789 14.9488]
3.330 jaw  [n.5-1-2011 = 1, n.5-2-2011 = 10, 18.2789 14.9488]
3.178 tiene  [n.5-1-2011 = 1, n.5-2-2011 = 9, 18.2789 15.1008]
3.178 smaller  [n.5-1-2011 = 1, n.5-2-2011 = 9, 18.2789 15.1008]
3.178 psych  [n.5-1-2011 = 1, n.5-2-2011 = 9, 18.2789 15.1008]
3.178 ocra  [n.5-1-2011 = 1, n.5-2-2011 = 9, 18.2789 15.1008]
3.178 novelist  [n.5-1-2011 = 1, n.5-2-2011 = 9, 18.2789 15.1008]
3.178 guessing  [n.5-1-2011 = 1, n.5-2-2011 = 9, 18.2789 15.1008]
3.178 garage  [n.5-1-2011 = 1, n.5-2-2011 = 9, 18.2789 15.1008]
3.178 dagen  [n.5-1-2011 = 1, n.5-2-2011 = 9, 18.2789 15.1008]
3.178 client  [n.5-1-2011 = 1, n.5-2-2011 = 9, 18.2789 15.1008]
3.008 myth  [n.5-1-2011 = 1, n.5-2-2011 = 8, 18.2789 15.2707]
3.008 mortgages  [n.5-1-2011 = 1, n.5-2-2011 = 8, 18.2789 15.2707]
3.008 mondays  [n.5-1-2011 = 1, n.5-2-2011 = 8, 18.2789 15.2707]
