9.416 chills  [n.5-20-2011 = 8894, n4 = 9, 7.68264 17.0985]
8.970 diarrhea  [n.5-20-2011 = 4354, n4 = 6, 8.71313 17.6834]
8.098 sickly  [n.5-20-2011 = 1586, n4 = 4, 10.1701 18.2684]
7.637 awfully  [n.5-20-2011 = 1152, n4 = 4, 10.6313 18.2684]
7.470 puking  [n.5-20-2011 = 1026, n4 = 4, 10.7984 18.2684]
7.333 difficulty  [n.5-20-2011 = 1166, n4 = 5, 10.6139 17.9465]
6.905 beg  [n.5-20-2011 = 1214, n4 = 7, 10.5557 17.461]
6.620 causing  [n.5-20-2011 = 3130, n4 = 22, 9.18931 15.809]
6.533 symptom  [n.5-20-2011 = 536, n4 = 4, 11.7352 18.2684]
6.528 agony  [n.5-20-2011 = 534, n4 = 4, 11.7406 18.2684]
6.478 pains  [n.5-20-2011 = 1290, n4 = 10, 10.4681 16.9465]
6.134 dreadful  [n.5-20-2011 = 508, n4 = 5, 11.8126 17.9465]
6.050 abs  [n.5-20-2011 = 1246, n4 = 13, 10.5182 16.568]
5.985 runny  [n.5-20-2011 = 550, n4 = 6, 11.698 17.6834]
5.943 alexis  [n.5-20-2011 = 356, n4 = 4, 12.3255 18.2684]
5.912 ruining  [n.5-20-2011 = 1220, n4 = 14, 10.5486 16.461]
5.903 wishing  [n.5-20-2011 = 3204, n4 = 37, 9.15559 15.059]
5.877 constant  [n.5-20-2011 = 1700, n4 = 20, 10.0699 15.9465]
5.816 owwww  [n.5-20-2011 = 326, n4 = 4, 12.4525 18.2684]
5.798 zoe  [n.5-20-2011 = 322, n4 = 4, 12.4703 18.2684]
5.766 stream  [n.5-20-2011 = 1732, n4 = 22, 10.043 15.809]
5.764 sake  [n.5-20-2011 = 1572, n4 = 20, 10.1829 15.9465]
5.759 shock  [n.5-20-2011 = 1724, n4 = 22, 10.0497 15.809]
5.700 benjamin  [n.5-20-2011 = 376, n4 = 5, 12.2467 17.9465]
5.673 breathing  [n.5-20-2011 = 1772, n4 = 24, 10.0101 15.6834]
5.665 brains  [n.5-20-2011 = 1028, n4 = 14, 10.7956 16.461]
5.639 fever  [n.5-20-2011 = 2452, n4 = 34, 9.54151 15.1809]
5.629 medicine  [n.5-20-2011 = 3722, n4 = 52, 8.93939 14.568]
5.546 jasper  [n.5-20-2011 = 338, n4 = 5, 12.4004 17.9465]
5.546 caught  [n.5-20-2011 = 8452, n4 = 125, 7.75618 13.3026]
5.523 case  [n.5-20-2011 = 11444, n4 = 172, 7.31895 12.8421]
5.512 isaac  [n.5-20-2011 = 330, n4 = 5, 12.4349 17.9465]
5.479 flu  [n.5-20-2011 = 7806, n4 = 121, 7.87089 13.3495]
5.476 nate  [n.5-20-2011 = 322, n4 = 5, 12.4703 17.9465]
5.464 alvin  [n.5-20-2011 = 2, n4 = 61, 19.8013 14.3377]
5.358 cough  [n.5-20-2011 = 2374, n4 = 40, 9.58815 14.9465]
5.342 plenty  [n.5-20-2011 = 1584, n4 = 27, 10.1719 15.5135]
5.195 chloe  [n.5-20-2011 = 318, n4 = 6, 12.4884 17.6834]
5.191 noah  [n.5-20-2011 = 370, n4 = 7, 12.2699 17.461]
5.183 austin  [n.5-20-2011 = 368, n4 = 7, 12.2777 17.461]
5.177 wishes  [n.5-20-2011 = 1622, n4 = 31, 10.1377 15.3142]
5.170 ab  [n.5-20-2011 = 1042, n4 = 20, 10.7761 15.9465]
5.162 muscles  [n.5-20-2011 = 518, n4 = 10, 11.7844 16.9465]
5.158 natalie  [n.5-20-2011 = 310, n4 = 6, 12.5251 17.6834]
5.094 abby  [n.5-20-2011 = 346, n4 = 7, 12.3666 17.461]
5.015 count  [n.5-20-2011 = 3182, n4 = 68, 9.16553 14.1809]
4.998 nurse  [n.5-20-2011 = 832, n4 = 18, 11.1008 16.0985]
4.964 ethan  [n.5-20-2011 = 316, n4 = 7, 12.4975 17.461]
4.901 begging  [n.5-20-2011 = 562, n4 = 13, 11.6668 16.568]
4.867 extremely  [n.5-20-2011 = 2196, n4 = 52, 9.70059 14.568]
4.859 ava  [n.5-20-2011 = 294, n4 = 7, 12.6016 17.461]
4.820 somewhere  [n.5-20-2011 = 3228, n4 = 79, 9.14483 13.9646]
4.753 kayla  [n.5-20-2011 = 312, n4 = 8, 12.5159 17.2684]
4.742 disaster  [n.5-20-2011 = 32, n4 = 592, 15.8013 11.059]
4.742 averted  [n.5-20-2011 = 2, n4 = 37, 19.8013 15.059]
4.732 nathan  [n.5-20-2011 = 346, n4 = 9, 12.3666 17.0985]
4.600 suffering  [n.5-20-2011 = 1614, n4 = 46, 10.1448 14.7448]
4.600 chest  [n.5-20-2011 = 1754, n4 = 50, 10.0248 14.6245]
4.577 earthquake  [n.5-20-2011 = 10, n4 = 165, 17.4793 12.9021]
4.555 brewing  [n.5-20-2011 = 340, n4 = 10, 12.3919 16.9465]
4.546 painful  [n.5-20-2011 = 980, n4 = 29, 10.8646 15.4104]
4.542 blows  [n.5-20-2011 = 1348, n4 = 40, 10.4046 14.9465]
4.511 laying  [n.5-20-2011 = 1616, n4 = 49, 10.143 14.6537]
4.508 terrible  [n.5-20-2011 = 4016, n4 = 122, 8.82971 13.3377]
4.473 depressing  [n.5-20-2011 = 1606, n4 = 50, 10.152 14.6245]
4.450 cheer  [n.5-20-2011 = 854, n4 = 27, 11.0632 15.5135]
4.442 emma  [n.5-20-2011 = 346, n4 = 11, 12.3666 16.809]
4.440 seth  [n.5-20-2011 = 314, n4 = 10, 12.5066 16.9465]
4.440 priesthood  [n.5-20-2011 = 2, n4 = 30, 19.8013 15.3615]
4.414 doctor  [n.5-20-2011 = 2806, n4 = 91, 9.34695 13.7606]
4.371 sucks  [n.5-20-2011 = 2246, n4 = 75, 9.66811 14.0396]
4.300 sickness  [n.5-20-2011 = 342, n4 = 12, 12.3834 16.6834]
4.290 cooper  [n.5-20-2011 = 368, n4 = 13, 12.2777 16.568]
   4.237 madison  [n.5-20-2011 = 300, n4 = 11, 12.5724 16.809]
   4.233 packer  [n.5-20-2011 = 2, n4 = 26, 19.8013 15.568]
   4.233 misery  [n.5-20-2011 = 2, n4 = 26, 19.8013 15.568]
   4.233 lighter  [n.5-20-2011 = 2, n4 = 26, 19.8013 15.568]
   4.201 samuel  [n.5-20-2011 = 346, n4 = 13, 12.3666 16.568]
   4.177 oaks  [n.5-20-2011 = 2, n4 = 25, 19.8013 15.6245]
   4.176 nicholas  [n.5-20-2011 = 340, n4 = 13, 12.3919 16.568]
   4.133 dylan  [n.5-20-2011 = 330, n4 = 13, 12.4349 16.568]
   4.124 elizabeth  [n.5-20-2011 = 328, n4 = 13, 12.4437 16.568]
   4.105 pass  [n.5-20-2011 = 1444, n4 = 58, 10.3054 14.4104]
   4.073 breath  [n.5-20-2011 = 1826, n4 = 75, 9.96678 14.0396]
   4.028 hurts  [n.5-20-2011 = 3022, n4 = 128, 9.23996 13.2684]
   4.013 staying  [n.5-20-2011 = 1612, n4 = 69, 10.1466 14.1599]
   4.008 lose  [n.5-20-2011 = 3212, n4 = 138, 9.152 13.1599]
   4.001 tweeps  [n.5-20-2011 = 1436, n4 = 62, 10.3134 14.3142]
   3.992 smashed  [n.5-20-2011 = 2, n4 = 22, 19.8013 15.809]
   3.992 glasses  [n.5-20-2011 = 2, n4 = 22, 19.8013 15.809]
   3.991 throwing  [n.5-20-2011 = 1012, n4 = 44, 10.8183 14.809]
   3.966 aching  [n.5-20-2011 = 520, n4 = 23, 11.7789 15.7448]
   3.925 rear  [n.5-20-2011 = 2, n4 = 21, 19.8013 15.8761]
   3.925 lawrence  [n.5-20-2011 = 2, n4 = 21, 19.8013 15.8761]
   3.925 esp  [n.5-20-2011 = 2, n4 = 21, 19.8013 15.8761]
   3.859 jordan  [n.5-20-2011 = 336, n4 = 16, 12.4089 16.2684]
   3.855 tener  [n.5-20-2011 = 2, n4 = 20, 19.8013 15.9465]
   3.855 jedward  [n.5-20-2011 = 6, n4 = 60, 18.2163 14.3615]
   3.855 hacer  [n.5-20-2011 = 2, n4 = 20, 19.8013 15.9465]
   3.835 peeps  [n.5-20-2011 = 888, n4 = 43, 11.0068 14.8421]
   3.798 jacob  [n.5-20-2011 = 342, n4 = 17, 12.3834 16.1809]
   3.782 possibly  [n.5-20-2011 = 856, n4 = 43, 11.0598 14.8421]
   3.781 replied  [n.5-20-2011 = 2, n4 = 19, 19.8013 16.0205]
   3.781 pony  [n.5-20-2011 = 2, n4 = 19, 19.8013 16.0205]
   3.781 julie  [n.5-20-2011 = 2, n4 = 19, 19.8013 16.0205]
   3.762 mw  [n.5-20-2011 = 8, n4 = 75, 17.8013 14.0396]
   3.755 cameron  [n.5-20-2011 = 332, n4 = 17, 12.4262 16.1809]
   3.723 anthony  [n.5-20-2011 = 344, n4 = 18, 12.375 16.0985]
   3.703 twitterstake  [n.5-20-2011 = 2, n4 = 18, 19.8013 16.0985]
   3.703 float  [n.5-20-2011 = 2, n4 = 18, 19.8013 16.0985]
   3.703 chan  [n.5-20-2011 = 2, n4 = 18, 19.8013 16.0985]
   3.673 tyler  [n.5-20-2011 = 406, n4 = 22, 12.1359 15.809]
   3.642 mercy  [n.5-20-2011 = 578, n4 = 32, 11.6263 15.2684]
   3.620 successfully  [n.5-20-2011 = 2, n4 = 17, 19.8013 16.1809]
   3.620 momento  [n.5-20-2011 = 2, n4 = 17, 19.8013 16.1809]
   3.620 launched  [n.5-20-2011 = 2, n4 = 17, 19.8013 16.1809]
   3.620 hwy  [n.5-20-2011 = 2, n4 = 17, 19.8013 16.1809]
   3.620 extinguisher  [n.5-20-2011 = 2, n4 = 17, 19.8013 16.1809]
   3.618 sick  [n.5-20-2011 = 4886, n4 = 275, 8.54681 12.1651]
   3.598 anna  [n.5-20-2011 = 368, n4 = 21, 12.2777 15.8761]
   3.577 elder  [n.5-20-2011 = 8, n4 = 66, 17.8013 14.224]
   3.559 hannah  [n.5-20-2011 = 324, n4 = 19, 12.4614 16.0205]
   3.555 jonathan  [n.5-20-2011 = 340, n4 = 20, 12.3919 15.9465]
   3.551 emily  [n.5-20-2011 = 356, n4 = 21, 12.3255 15.8761]
   3.533 reflect  [n.5-20-2011 = 2, n4 = 16, 19.8013 16.2684]
   3.533 guilt  [n.5-20-2011 = 2, n4 = 16, 19.8013 16.2684]
   3.533 buried  [n.5-20-2011 = 2, n4 = 16, 19.8013 16.2684]
   3.525 annoying  [n.5-20-2011 = 3846, n4 = 231, 8.89211 12.4167]
   3.515 tough  [n.5-20-2011 = 1290, n4 = 78, 10.4681 13.983]
